Job Title,Job Company,Job Location,Job Type,Job Pay,Job Excerpt
Urgent Need for Contact Tracer,Staffing Etc.,Not specified,Temporarily remote,$25 an hour,"

The Contact Tracer will work from home using a web-based platform and telephone to communicate with assigned contacts, obtain symptom information, refer…
"
Representantes Bilingues en Ingles y Espanol Call Center COV...,ValorVIP,Not specified,Not remote,Pay details not available,"

Complete research of beneficiary contact history and report findings to management.
Handle inbound and outbound contacts in a courteous, timely, and…
"
Representantes Bilingues en Ingles y Espanol Call Center COV...,MCI Careers,Not specified,Not remote,Pay details not available,"

Complete research of beneficiary contact history and report findings to management.
Handle inbound and outbound contacts in a courteous, timely, and…
"
COVID-19 Contact Tracer,New Healthcare Professionals,"Jamaica, NY",Not remote,$18 - $20 an hour,"

Performs outreach in support of COVID-19 contact tracing specifically in transportation hubs, such as Penn Station and Port Authority 42nd Street Bus Terminal.
"
Contact Tracer,Public Consulting Group,"New York, NY 10038 (Financial District area)",Remote,Pay details not available,"

Call contacts of newly diagnosed cases.
The aim of this initiative will be to call every person diagnosed with COVID-19, establish all contacts of this person,…
"
Contact Tracer,MIC Global Services,"Plano, TX 75024",Temporarily remote,$20 - $25 an hour,"

Contact tracers will follow a script to inform contacts about the importance of quarantine and what to do if symptoms develop.
Job Types: Full-time, Contract.
"
COVID-19 Contact Tracers (CARES),JVS SoCal,Remote,Not remote,$21.65 an hour,"

We will hire, train, and supervise teams working remotely 40 hour per week to perform COVID-19 contact tracing activities.
Must be 18 or older.
"
Contact Tracer,Southern Nevada Health District,Nevada,Remote,$22.03 - $30.75 an hour,"

Provides contacts with regulated information on isolation and quarantine procedures.
Interviews traced contacts, assessing symptoms, and refers them for testing…
"
"Covid-19 Contact Tracer/Survey Interviewer, Full-time & Part...","Professional Research Consultants, Inc",South Dakota,Temporarily remote,Pay details not available,"

Maintain daily contact with supervisor.
The aim of this position will be to call every person diagnosed and/or exposed with COVID-19, gather their contacts, and…
"
Contact Tracing Rep - Remote/Work From Home,PepsiCo,"Medley, FL",Temporarily remote,$22 - $24 an hour,"

Interact with employees (frontline and managers) via phone, e-mail and Zoom in response to COVID related leaves per tracing and return to work protocols.
"
VIRTUAL HIRING EVENT: COVID-19 Contact Tracer _ PT Remote Op...,Kindred Healthcare,"Louisville, KY 40202 (Phoenix Hill area)",Temporarily remote,Pay details not available,"

Due to the current situation related to the most recent coronavirus (COVID-19), we’re using online tools to ensure we can continue to recruit top talent at…
"
Contact Tracer,Partners In Health,Massachusetts,Remote,Pay details not available,"

The aim of this will be to call every person diagnosed with COVID-19, gather their contacts, and proceed to call every contact in Massachusetts.
"
Contact Tracer (On-Call),"Kleinfelder, Inc.","Exton, PA 19341",Remote,Pay details not available,"

Identify all contacts who are employees or clients and provide prompt notification.
Must have completed a COVID-19 contact tracing course (ASTHO or Johns…
"
Contact Tracer,MAXIMUS,"Kansas City, MO 64153",Not remote,Pay details not available,"

Make outgoing calls to those identified to have had contact with an individual who tested positive for COVID-19 in accordance with all performance standards,…
"
Temporary Contact Tracer,Florida International University,"Miami, FL",Remote,$19 an hour,"

Maintain daily contact with supervisor to provide information on contact tracing reports, requirements any situations that may arise requiring escalation.
"
VIRTUAL HIRING EVENT: COVID-19 Contact Tracer _ PT Remote Op...,Kindred Healthcare,"Louisville, KY 40202 (Phoenix Hill area)",Temporarily remote,Pay details not available,"

Due to the current situation related to the most recent coronavirus (COVID-19), we’re using online tools to ensure we can continue to recruit top talent at…
"
COVID-19 Contact Investigators/Contact Tracers & associated...,State of Washington Dept. of Health,Washington State,Remote,"$3,446 - $6,691 a month","

Surge Support Teams Leads and Supervisors.
Our programs and services help prevent illness and injury, promote healthy places to live and work, provide education…
"
